"title","body","labels"
"[Setup] Initialisation du projet Spring Boot","Créer le squelette du projet API REST en Spring Boot qui servira de base à tous les modules.

**Tâches :**
- [ ] Générer le projet via Spring Initializr (Web, JPA, Validation, Security, Lombok)
- [ ] Définir l'arborescence des packages (controller, service, repository, model, dto, config, exception)
- [ ] Configurer application.yml (profils dev/test/prod)
- [ ] Mettre en place la gestion centralisée des exceptions (@ControllerAdvice)
- [ ] Configurer le CORS
- [ ] Pousser le squelette sur le dépôt Git avec README d'installation","setup,backend"
"[Setup] Configuration base de données et migrations","Mettre en place la persistance des données et le versionning du schéma de base de données.

**Tâches :**
- [ ] Choisir et configurer la base de données (PostgreSQL)
- [ ] Ajouter Flyway (ou Liquibase) pour les migrations
- [ ] Créer les scripts de migration initiaux (tables users, roles)
- [ ] Configurer une base de données de test (H2 ou Testcontainers)
- [ ] Documenter la procédure de setup local de la BDD","setup,backend"
"[Setup] Dockerisation de l'application","Permettre de lancer l'API et sa base de données en local avec Docker.

**Tâches :**
- [ ] Écrire le Dockerfile de l'API
- [ ] Écrire le docker-compose.yml (API + base de données)
- [ ] Gérer les variables d'environnement (.env)
- [ ] Tester le lancement complet en local via docker-compose up","setup,devops"
"[Setup] Mise en place de la CI/CD","Automatiser le build, les tests et le lint à chaque push/pull request.

**Tâches :**
- [ ] Créer le workflow GitHub Actions (build + tests)
- [ ] Ajouter l'analyse de code (Checkstyle / SonarLint ou équivalent)
- [ ] Bloquer la fusion des PR si les tests échouent
- [ ] Ajouter un badge de statut de build dans le README","setup,devops"
"[Setup] Documentation API avec Swagger/OpenAPI","Fournir une documentation interactive de l'API pour toute l'équipe.

**Tâches :**
- [ ] Intégrer springdoc-openapi
- [ ] Configurer les métadonnées de l'API (titre, version, description)
- [ ] Vérifier que chaque nouveau endpoint est bien documenté automatiquement
- [ ] Ajouter la sécurité (JWT) dans l'interface Swagger","setup,backend,documentation"
"[Auth] Inscription utilisateur","Permettre à un nouvel utilisateur de créer un compte (rôle USER par défaut).

**Tâches :**
- [ ] Créer l'entité User (email, mot de passe, nom, rôle, dates)
- [ ] Créer le DTO d'inscription + validation (email, mot de passe fort, champs requis)
- [ ] Hasher le mot de passe (BCrypt)
- [ ] Endpoint POST /api/auth/register
- [ ] Gérer le cas email déjà utilisé (erreur 409)
- [ ] Tests unitaires du service d'inscription","module:auth,backend,feature"
"[Auth] Connexion utilisateur (JWT)","Permettre à un utilisateur inscrit de se connecter et d'obtenir un token JWT.

**Tâches :**
- [ ] Configurer Spring Security (filtre JWT, encodeur de mot de passe)
- [ ] Endpoint POST /api/auth/login
- [ ] Générer un token JWT (access token, expiration configurable)
- [ ] Gérer les erreurs d'identifiants invalides (401)
- [ ] Ajouter le refresh token (optionnel selon planning)
- [ ] Tests d'intégration du flow login","module:auth,backend,feature,security"
"[Auth] Gestion du profil utilisateur","Permettre à un utilisateur connecté de consulter et modifier ses informations.

**Tâches :**
- [ ] Endpoint GET /api/users/me
- [ ] Endpoint PUT /api/users/me (nom, email, mot de passe)
- [ ] Validation des données modifiées
- [ ] Vérifier que l'utilisateur ne peut modifier que son propre profil
- [ ] Tests unitaires et d'intégration","module:auth,backend,feature"
"[Auth] Gestion des rôles et sécurisation des accès","Mettre en place les rôles USER, LIBRARIAN, ADMIN et sécuriser les endpoints en conséquence.

**Tâches :**
- [ ] Modéliser les rôles (enum ou table roles)
- [ ] Ajouter les annotations @PreAuthorize sur les endpoints existants
- [ ] Endpoint ADMIN pour lister/modifier le rôle d'un utilisateur
- [ ] Écrire une matrice des permissions par rôle (doc)
- [ ] Tests des accès autorisés/interdits par rôle","module:auth,backend,feature,security"
"[Auth] Tests globaux du module Authentification","Consolider la couverture de tests du module authentification avant de passer aux autres modules.

**Tâches :**
- [ ] Tests d'intégration complets (register -> login -> accès protégé)
- [ ] Tests des cas d'erreurs (token expiré, token invalide, rôle insuffisant)
- [ ] Vérifier la couverture de code du module","module:auth,tests"
"[Catalogue] Modèle de données Livre","Définir la structure des données représentant un livre du catalogue.

**Tâches :**
- [ ] Créer l'entité Book (titre, auteur, ISBN, genre, description, nombre d'exemplaires, disponibilité)
- [ ] Créer la migration de la table books
- [ ] Créer les DTOs (BookRequest, BookResponse)
- [ ] Créer le repository JPA","module:catalogue,backend,feature"
"[Catalogue] Liste et détail des livres","Permettre à tout utilisateur de consulter le catalogue.

**Tâches :**
- [ ] Endpoint GET /api/books (liste paginée)
- [ ] Endpoint GET /api/books/{id} (détail)
- [ ] Gérer le cas livre non trouvé (404)
- [ ] Tests unitaires et d'intégration","module:catalogue,backend,feature"
"[Catalogue] Recherche et filtres","Permettre de rechercher un livre par mots-clés et de filtrer les résultats.

**Tâches :**
- [ ] Endpoint GET /api/books/search (titre, auteur, genre)
- [ ] Ajouter un filtre par disponibilité
- [ ] Ajouter le tri (titre, date d'ajout, note moyenne)
- [ ] Optimiser la requête (index sur les colonnes recherchées)
- [ ] Tests des différents scénarios de recherche","module:catalogue,backend,feature"
"[Catalogue] CRUD gestion du catalogue (bibliothécaire)","Permettre au rôle LIBRARIAN de gérer le catalogue de livres.

**Tâches :**
- [ ] Endpoint POST /api/books (création, réservé LIBRARIAN/ADMIN)
- [ ] Endpoint PUT /api/books/{id} (modification)
- [ ] Endpoint DELETE /api/books/{id} (suppression ou désactivation)
- [ ] Vérifier les droits d'accès par rôle
- [ ] Tests unitaires et d'intégration du CRUD complet","module:catalogue,backend,feature"
"[Catalogue] Tests globaux du module Catalogue","S'assurer de la robustesse du module catalogue avant de le connecter aux emprunts et réservations.

**Tâches :**
- [ ] Tests de bout en bout recherche + détail + CRUD
- [ ] Tests de performance sur la pagination/recherche avec un gros volume de données","module:catalogue,tests"
"[Emprunt] Modèle de données Emprunt","Définir la structure représentant un emprunt de livre.

**Tâches :**
- [ ] Créer l'entité Loan (utilisateur, livre, date d'emprunt, date prévue de retour, date réelle de retour, statut)
- [ ] Créer la migration de la table loans
- [ ] Créer les DTOs associés
- [ ] Créer le repository JPA","module:emprunt,backend,feature"
"[Emprunt] Emprunter un livre","Permettre à un utilisateur d'emprunter un exemplaire disponible.

**Tâches :**
- [ ] Endpoint POST /api/loans (livre + utilisateur connecté)
- [ ] Vérifier la disponibilité du livre avant de créer l'emprunt
- [ ] Décrémenter le nombre d'exemplaires disponibles
- [ ] Gérer le cas livre indisponible (redirection vers réservation, module 4)
- [ ] Tests unitaires et d'intégration","module:emprunt,backend,feature"
"[Emprunt] Consulter mes emprunts","Permettre à un utilisateur de voir ses emprunts en cours et son historique.

**Tâches :**
- [ ] Endpoint GET /api/loans/me (en cours + historique, avec pagination)
- [ ] Endpoint GET /api/loans (vue globale pour LIBRARIAN/ADMIN)
- [ ] Tests unitaires et d'intégration","module:emprunt,backend,feature"
"[Emprunt] Enregistrer un retour de livre","Permettre d'enregistrer le retour d'un livre emprunté.

**Tâches :**
- [ ] Endpoint PUT /api/loans/{id}/return
- [ ] Ré-incrémenter le nombre d'exemplaires disponibles
- [ ] Déclencher la notification du prochain utilisateur en file d'attente (lien module Réservation)
- [ ] Tests unitaires et d'intégration","module:emprunt,backend,feature"
"[Emprunt] Règles métier (limite, retard, pénalités)","Mettre en place les règles de gestion des emprunts.

**Tâches :**
- [ ] Limiter le nombre d'emprunts simultanés par utilisateur
- [ ] Détecter les emprunts en retard
- [ ] Bloquer les nouveaux emprunts en cas de retard non régularisé (règle à définir avec l'équipe)
- [ ] Tests des cas limites","module:emprunt,backend,feature"
"[Emprunt] Tests globaux du module Emprunt","Valider le parcours complet d'emprunt/retour.

**Tâches :**
- [ ] Tests de bout en bout emprunt -> retour
- [ ] Tests des règles métier (limite, retard)","module:emprunt,tests"
"[Réservation] Modèle de données Réservation","Définir la structure représentant une réservation de livre.

**Tâches :**
- [ ] Créer l'entité Reservation (utilisateur, livre, date de réservation, position dans la file, statut)
- [ ] Créer la migration de la table reservations
- [ ] Créer les DTOs associés
- [ ] Créer le repository JPA","module:reservation,backend,feature"
"[Réservation] Réserver un livre indisponible","Permettre à un utilisateur de réserver un livre actuellement emprunté.

**Tâches :**
- [ ] Endpoint POST /api/reservations
- [ ] Vérifier que le livre est bien indisponible avant réservation
- [ ] Empêcher les réservations multiples du même utilisateur sur le même livre
- [ ] Tests unitaires et d'intégration","module:reservation,backend,feature"
"[Réservation] Gestion de la file d'attente","Gérer l'ordre des utilisateurs en attente pour un même livre.

**Tâches :**
- [ ] Endpoint GET /api/reservations/me (mes réservations + ma position)
- [ ] Endpoint GET /api/books/{id}/reservations (file d'attente d'un livre, LIBRARIAN)
- [ ] Mettre à jour automatiquement la file quand une réservation est annulée
- [ ] Endpoint DELETE /api/reservations/{id} (annulation par l'utilisateur)
- [ ] Tests unitaires et d'intégration","module:reservation,backend,feature"
